"주요 단계,주요 활동,시기,책임자,실무자,협조 및 지원 부서,적용 시스템"
"제안/계약,1. 영업기회 등록(K),사업기회 식별 후,영업대표,영업대표,사업부서|BD,KOS"
"제안/계약,2. VDC-A 실시,,,,,"
"제안/계약,2.1 VDC-A 심의 준비(K),사전규격 / RFI 1개월 이전,영업대표|BD|PM,영업대표|BD,품질/PRM,KOS"
"제안/계약,2.2 VDC-A 심의 실시 및 공조 요청(K),사전규격 / RFI 1개월 이전,영업대표|BD,심의부서,품질/PRM,KOS"
"제안/계약,3. 제안서 작성,,,,,"
"제안/계약,3.1 제안환경 구성,VDC- A 실시 및 공조 승인 후,제안PM,제안PM,E부문 제안/이행지원부서|영업대표|BD,KOS"
"제안/계약,3.2 사전공고 분석 및 Risk 검토,사전공고 후,영업대표|BD|제안PM,영업대표|BD|제안팀,,NA"
"제안/계약,3.3 RFP 분석,RFP 접수 후,영업대표|BD|제안PM,영업대표|BD|제안팀,제안지원부서|아키텍처|품질/PRM,NA"
"제안/계약,3.4 제안서 작성,제안서제출 최소 1일전까지,제안PM,제안팀,영업대표|BD|제안지원부서|아키텍처|품질/PRM,NA"
"제안/계약,3.5 하도급사 검증(K),VDC-B 발의전까지,구매(원가),BD|제안PM|이행PM,구매(원가)부서,NA"
"제안/계약,3.6 견적 확보 및 원가 산정,VDC-B 발의 전까지,영업대표|제안PM,BD|구매,구매부서,NA"
"제안/계약,3.7 Risk 검토 및 대응방안 수립,VDC-B 심의 전까지,영업대표|제안PM,PRM|BD|PL,품질/PRM|BD,NA"
"제안/계약,4. VDC-B 실시(K),""발의: 입찰일 기준 영업일수 3일전"
"심의: 입찰전까지"",영업대표|재무,영업대표|BD|재무,구매|재무|법무|품질/PRM,KOS"
"제안/계약,5. 입찰 및 제안발표,,,,,"
"제안/계약,5.1 입찰 및 제안서 제출,제출마감까지,영업대표,BD|제안PM|제안팀,사업부서|이행부서,나라장터 및 고객사 전자입찰시스템"
"제안/계약,5.2 제안 발표,,이행PM,제안PM|제안팀,영업대표|BD,NA"
"제안/계약,6. 기술협상,,,,,"
"제안/계약,6.1 기술협상 준비 및 실시,우선협상대상 선정 후,이행PM,BD|영업대표|제안PM,컨소사|재무|구매|법무|아키텍처,NA"
"제안/계약,6.2 이행 원가 재산정 및 계약서 검토,우선협상대상 선정 후,영업대표,BD|이행PM|제안PM,재무|구매|법무|아키텍처,NA"
"제안/계약,7. VDC-C 실시(K),발의는 계약체결 기준 영업일수 3일 전,영업대표|재무,영업대표|BD|재무,구매|재무|법무|품질/PRM,KOS"
"제안/계약,8. 계약 체결,,,,,"
"제안/계약,8.1 계약 체결,발주사 계약 시,영업대표,영업대표,BD|PM|법무|계약관리부서,계약서 검토: KT?Legal"
"제안/계약,8.2 프로젝트 발주 처리(K),발주사 계약 시,영업대표|BD,제안PM,품질/PRM,KOS"
"제안/계약,9. 하도급 업체 분석(변경시),하도급 계약 체결 전,구매(원가),BD|제안PM,구매(원가)부서,NA"
"착수/계획,1. 착수전 준비,,,,,"
"착수/계획,1.1 PM업무 인수/인계,수주결정후부터 착수전까지,제안PM|영업대표|BD,영업대표|BD|이행PM,,NA"
"착수/계획,1.2 하도급 승인 요청,하도급 계약 체결 전,PM,영업대표|BD,영업대표|BD|구매부서,KATE>인장관리"
"착수/계획,1.3 착수 PRB 실시(E),계약체결일 D+7 이내,PM,영업대표|BD,이행팀장|품질/PRM,EasyERP>기업매출프로젝트>수행프로젝트관리>착수?PRB관리>착수?PRB등록/변경"
